Faixa de idade,Impressões,Porcentagem do total conhecido
18 a 24,23.467,"37,70%"
25 a 34,20.043,"32,20%"
35 a 44,9.540,"15,32%"
45 a 54,4.488,"7,21%"
55 a 64,2.707,"4,35%"
+65,2.017,"3,24%"
